gridx,gridy,state,agentcolor
1.125,1.625,Healthy,#blue
1.6,1.625,Healthy,#blue
2.075,1.625,Healthy,#blue
2.55,1.625,Healthy,#blue
4.125,1.625,Healthy,#blue
4.6,1.625,Healthy,#blue
5.075,1.625,Healthy,#blue
5.55,1.625,Healthy,#blue
1.125,2.1,Healthy,#blue
1.6,2.1,Healthy,#blue
2.075,2.1,Healthy,#blue
2.55,2.1,Healthy,#blue
4.125,2.1,Healthy,#blue
4.6,2.1,Healthy,#blue
5.075,2.1,Healthy,#blue
5.55,2.1,Healthy,#blue
1.125,2.575,Healthy,#blue
1.6,2.575,Healthy,#blue
2.075,2.575,Healthy,#blue
2.55,2.575,Healthy,#blue
4.125,2.575,Healthy,#blue
4.6,2.575,Healthy,#blue
5.075,2.575,Healthy,#blue
5.55,2.575,Healthy,#blue
1.125,3.05,Healthy,#blue
1.6,3.05,Healthy,#blue
2.075,3.05,Healthy,#blue
2.55,3.05,Healthy,#blue
4.125,3.05,Healthy,#blue
4.6,3.05,Healthy,#blue
5.075,3.05,Healthy,#blue
5.55,3.05,Healthy,#blue
1.125,3.525,Healthy,#blue
1.6,3.525,Healthy,#blue
2.075,3.525,Healthy,#blue
2.55,3.525,Healthy,#blue
4.125,3.525,Healthy,#blue
4.6,3.525,Healthy,#blue
5.075,3.525,Healthy,#blue
5.55,3.525,Healthy,#blue
