gridx,gridy,state,agentcolor
1.125,1.625,Healthy,#blue
1.575,1.625,Healthy,#blue
2.025,1.625,Healthy,#blue
2.475,1.625,Healthy,#blue
4.125,1.625,Healthy,#blue
4.575,1.625,Healthy,#blue
5.025,1.625,Healthy,#blue
5.475,1.625,Healthy,#blue
1.125,2.075,Healthy,#blue
1.575,2.075,Healthy,#blue
2.025,2.075,Healthy,#blue
2.475,2.075,Healthy,#blue
4.125,2.075,Healthy,#blue
4.575,2.075,Healthy,#blue
5.025,2.075,Healthy,#blue
5.475,2.075,Healthy,#blue
1.125,2.525,Healthy,#blue
1.575,2.525,Healthy,#blue
2.025,2.525,Healthy,#blue
2.475,2.525,Healthy,#blue
4.125,2.525,Healthy,#blue
4.575,2.525,Healthy,#blue
5.025,2.525,Healthy,#blue
5.475,2.525,Healthy,#blue
1.125,2.975,Healthy,#blue
1.575,2.975,Healthy,#blue
2.025,2.975,Healthy,#blue
2.475,2.975,Healthy,#blue
4.125,2.975,Healthy,#blue
4.575,2.975,Healthy,#blue
5.025,2.975,Healthy,#blue
5.475,2.975,Healthy,#blue
1.125,3.425,Healthy,#blue
1.575,3.425,Healthy,#blue
2.025,3.425,Healthy,#blue
2.475,3.425,Healthy,#blue
4.125,3.425,Healthy,#blue
4.575,3.425,Healthy,#blue
5.025,3.425,Healthy,#blue
5.475,3.425,Healthy,#blue
