gridx,gridy,state,agentcolor
1.125,1.625,Healthy,#blue
1.725,1.625,Healthy,#blue
2.325,1.625,Healthy,#blue
2.925,1.625,Healthy,#blue
4.125,1.625,Healthy,#blue
4.725,1.625,Healthy,#blue
5.325,1.625,Healthy,#blue
5.925,1.625,Healthy,#blue
1.125,2.225,Healthy,#blue
1.725,2.225,Healthy,#blue
2.325,2.225,Healthy,#blue
2.925,2.225,Healthy,#blue
4.125,2.225,Healthy,#blue
4.725,2.225,Healthy,#blue
5.325,2.225,Healthy,#blue
5.925,2.225,Healthy,#blue
1.125,2.825,Healthy,#blue
1.725,2.825,Healthy,#blue
2.325,2.825,Healthy,#blue
2.925,2.825,Healthy,#blue
4.125,2.825,Healthy,#blue
4.725,2.825,Healthy,#blue
5.325,2.825,Healthy,#blue
5.925,2.825,Healthy,#blue
1.125,3.425,Healthy,#blue
1.725,3.425,Healthy,#blue
2.325,3.425,Healthy,#blue
2.925,3.425,Healthy,#blue
4.125,3.425,Healthy,#blue
4.725,3.425,Healthy,#blue
5.325,3.425,Healthy,#blue
5.925,3.425,Healthy,#blue
1.125,4.025,Healthy,#blue
1.725,4.025,Healthy,#blue
2.325,4.025,Healthy,#blue
2.925,4.025,Healthy,#blue
4.125,4.025,Healthy,#blue
4.725,4.025,Healthy,#blue
5.325,4.025,Healthy,#blue
5.925,4.025,Healthy,#blue
